tenure,amount,rate,residence,age,credits,maintenance,history,savings,employment,property,job,status,purpose,guarantor,installments,housing,telephone,foreign,sex,personal,label
6,1169,4,4,67,2,1,critical,no savings,"[7, inf)",real estate,skilled,overdrawn,television,none,none,ownership,yes,True,male,male single,0
48,5951,2,2,22,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,petty,television,none,none,ownership,none,True,female,female divorced/separated/married,1
12,2096,2,3,49,1,2,critical,"[0, 100)","[4, 7)",real estate,unskilled,no account,education,none,none,ownership,none,True,male,male single,0
42,7882,2,4,45,1,2,so far so good,"[0, 100)","[4, 7)",building savings / life insurance,skilled,overdrawn,furniture,guarantor,none,without payment,none,True,male,male single,0
24,4870,3,4,53,2,2,delay,"[0, 100)","[1, 4)",none,skilled,overdrawn,car,none,none,without payment,none,True,male,male single,1
36,9055,2,4,35,1,2,so far so good,no savings,"[1, 4)",none,unskilled,no account,education,none,none,without payment,yes,True,male,male single,0
24,2835,3,4,53,1,1,so far so good,"[500, 1000)","[7, inf)",building savings / life insurance,skilled,no account,furniture,none,none,ownership,none,True,male,male single,0
36,6948,2,2,35,1,1,so far so good,"[0, 100)","[1, 4)",car,white color,petty,used car,none,none,rent,yes,True,male,male single,0
12,3059,2,4,61,1,1,so far so good,"[1000, inf)","[4, 7)",real estate,unskilled,no account,television,none,none,ownership,none,True,male,male divorced/separated,0
30,5234,4,2,28,2,1,critical,"[0, 100)",unemployed,car,white color,petty,car,none,none,ownership,none,True,male,male married/widowed,1
12,1295,3,1,25,1,1,so far so good,"[0, 100)","[0, 1)",car,skilled,petty,car,none,none,rent,none,True,female,female divorced/separated/married,1
48,4308,3,4,24,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,skilled,overdrawn,business,none,none,rent,none,True,female,female divorced/separated/married,1
12,1567,1,1,22,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,petty,television,none,none,ownership,yes,True,female,female divorced/separated/married,0
24,1199,4,4,60,2,1,critical,"[0, 100)","[7, inf)",car,unskilled,overdrawn,car,none,none,ownership,none,True,male,male single,1
15,1403,2,4,28,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,overdrawn,car,none,none,rent,none,True,female,female divorced/separated/married,0
24,1282,4,2,32,1,1,so far so good,"[100, 500)","[1, 4)",car,unskilled,overdrawn,television,none,none,ownership,none,True,female,female divorced/separated/married,1
24,2424,4,4,53,2,1,critical,no savings,"[7, inf)",building savings / life insurance,skilled,no account,television,none,none,ownership,none,True,male,male single,0
30,8072,2,3,25,3,1,no loans,no savings,"[0, 1)",car,skilled,overdrawn,business,none,loan,ownership,none,True,male,male single,0
24,12579,4,2,44,1,1,so far so good,"[0, 100)","[7, inf)",none,white color,petty,used car,none,none,without payment,yes,True,female,female divorced/separated/married,1
24,3430,3,2,31,1,2,so far so good,"[500, 1000)","[7, inf)",car,skilled,no account,television,none,none,ownership,yes,True,male,male single,0
9,2134,4,4,48,3,1,critical,"[0, 100)","[1, 4)",car,skilled,no account,car,none,none,ownership,yes,True,male,male single,0
6,2647,2,3,44,1,2,so far so good,"[500, 1000)","[1, 4)",real estate,skilled,overdrawn,television,none,none,rent,none,True,male,male single,0
10,2241,1,3,48,2,2,critical,"[0, 100)","[0, 1)",real estate,unskilled,overdrawn,car,none,none,rent,none,False,male,male single,0
12,1804,3,4,44,1,1,critical,"[100, 500)","[0, 1)",building savings / life insurance,skilled,petty,used car,none,none,ownership,none,True,male,male single,0
10,2069,2,1,26,2,1,critical,no savings,"[1, 4)",car,skilled,no account,furniture,none,none,ownership,none,False,male,male married/widowed,0
6,1374,1,2,36,1,1,so far so good,"[0, 100)","[1, 4)",real estate,unskilled,overdrawn,furniture,none,loan,ownership,yes,True,male,male single,0
6,426,4,4,39,1,1,no loans,"[0, 100)","[7, inf)",car,unskilled,no account,television,none,none,ownership,none,True,male,male married/widowed,0
12,409,3,3,42,2,1,duly paid back,"[1000, inf)","[1, 4)",real estate,skilled,salary,television,none,none,rent,none,True,female,female divorced/separated/married,0
7,2415,3,2,34,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,petty,television,guarantor,none,ownership,none,True,male,male single,0
60,6836,3,4,63,2,1,delay,"[0, 100)","[7, inf)",none,skilled,overdrawn,business,none,none,ownership,yes,True,male,male single,1
18,1913,3,3,36,1,1,so far so good,"[1000, inf)","[0, 1)",real estate,skilled,petty,business,none,loan,ownership,yes,True,male,male married/widowed,0
24,4020,2,2,27,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,overdrawn,furniture,none,consumer,ownership,none,True,male,male single,0
18,5866,2,2,30,2,1,so far so good,"[100, 500)","[1, 4)",car,skilled,petty,car,none,none,ownership,yes,True,male,male single,0
12,1264,4,4,57,1,1,critical,no savings,"[7, inf)",none,unskilled,no account,business,none,none,rent,none,True,male,male single,0
12,1474,4,1,33,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,white color,salary,furniture,none,loan,ownership,yes,True,female,female divorced/separated/married,0
45,4746,4,2,25,2,1,critical,"[0, 100)","[0, 1)",building savings / life insurance,unskilled,petty,television,none,none,ownership,none,True,male,male single,1
48,6110,1,3,31,1,1,critical,"[0, 100)","[1, 4)",none,skilled,no account,education,none,loan,without payment,yes,True,male,male single,0
18,2100,4,2,37,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,salary,television,co-applicant,consumer,ownership,none,True,male,male single,1
10,1225,2,2,37,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,salary,appliances,none,none,ownership,yes,True,male,male single,0
9,458,4,3,24,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,petty,television,none,none,ownership,none,True,male,male single,0
